DAY,Node,Call Drop%,Call Drops
7/19/2021,CCAZDFAAZ,0.48,107
7/19/2021,CCAZDFBAZ,0.56,54
7/19/2021,CCAZDFCAZ,0.17,38
7/19/2021,CAZDAAAZZ,0.37,57
7/19/2021,CAZDABAZZ,0.73,133
7/19/2021,CAZDACAZZ,0.75,30
7/19/2021,CADADAAZZ,0.13,19
7/19/2021,CAADHAAZZ,0.44,292
7/19/2021,CAADHBAZZ,1.63,78
7/19/2021,CAADHCAZZ,2.87,174
7/19/2021,CADGIAAZZ,0.4,45
7/19/2021,CADGIBAZZ,1.24,281
7/19/2021,CADGICAZZ,0.59,65
7/19/2021,CAFEZGAZZ,0.49,254
7/19/2021,CAFEZHAZZ,0.82,471
7/19/2021,CAFEZIAZZ,1.03,743
7/19/2021,CAHAZAAZZ,4.35,521
7/19/2021,CAHAZBAZZ,0.3,280
7/19/2021,CAHAZCAZZ,1.01,528
7/19/2021,CAHAZDAZZ,0.52,288
7/19/2021,CACZIAAZZ,0.28,163
7/19/2021,CACZIBAZZ,0.78,125
7/19/2021,CACZICAZZ,0.46,33
7/19/2021,CAHDAAAZZ,1.92,421
7/19/2021,CAHDABAZZ,0.27,48
7/19/2021,CAHDACAZZ,0.44,7
7/19/2021,CABEEAAZZ,2.68,12527
7/19/2021,CABEEBAZZ,2.33,529
7/19/2021,CABEECAZZ,4.11,4490
7/19/2021,CAGGBAAZZ,0.56,1461
7/19/2021,CAGGBDAZZ,0.98,51
7/19/2021,CAGGBEAZZ,0.88,568
7/19/2021,CAGGBFAZZ,1.22,154
7/19/2021,CAZBGAAZZ,0.59,93
7/19/2021,CAZBGBAZZ,2.49,280
7/19/2021,CAZBGCAZZ,0.38,70
7/19/2021,CABCIAAZZ,0.8,567
7/19/2021,CABCIBAZZ,0.85,445
7/19/2021,CABCICAZZ,2.87,884
7/19/2021,CAZHEAAZZ,1.02,316
7/19/2021,CAZHEBAZZ,1.42,776
7/19/2021,CAZHECAZZ,0.35,507
7/19/2021,CAEDABAAZ,0,0
7/19/2021,CAEDABBAZ,0,0
7/19/2021,CAEDAGAZZ,1.24,69
7/19/2021,CAEDAHAZZ,2.23,217
7/19/2021,CAZDCAAZZ,0.41,173
7/19/2021,CAZDCBAZZ,1.28,1008
7/19/2021,CAZDCCAZZ,0.73,131
7/19/2021,CAZDFAAZZ,0.48,433
7/19/2021,CAZDFBAZZ,0.64,205
7/19/2021,CAZDFCAZZ,0.16,105
7/19/2021,CAZCFAAZZ,0.74,167
7/19/2021,CAZCFBAZZ,0.77,747
7/19/2021,CAZCFCAZZ,0.61,56
7/19/2021,CAZCFDAZZ,1.03,1427
7/19/2021,CADAIAAZZ,0.35,43
7/19/2021,CADAIBAZZ,0.76,208
7/19/2021,CACFAAAZZ,0.97,757
7/19/2021,CACFABAZZ,0.52,313
7/19/2021,CACFACAZZ,0.38,183
7/19/2021,CABGDAAZZ,1.01,337
7/19/2021,CABGDBAZZ,2.39,208
7/19/2021,CABGDCAZZ,1.37,1245
7/19/2021,CCAGGCDAZ,0.65,660
7/19/2021,CCAGGCEAZ,0.29,162
7/19/2021,CCAGGCFAZ,1.28,1469
7/19/2021,CABIFAAZZ,1.25,869
7/19/2021,CABIFBAZZ,0.37,32
7/19/2021,CABIFCAZZ,1.61,938
7/19/2021,CAGGDAAZZ,0.06,38
7/19/2021,CAZCCAAZZ,0.51,298
7/19/2021,CAZCCBAZZ,0.39,37
7/19/2021,CAZCCCAZZ,0.79,84
7/19/2021,CAABAAAZZ,0.76,187
7/19/2021,CAABABAZZ,1.56,2121
7/19/2021,CAABACAZZ,0.99,1618
7/19/2021,CAZGFAAZZ,0.65,401
7/19/2021,CAZGFBAZZ,0.96,425
7/19/2021,CAZGFCAZZ,3,549
7/19/2021,CAZHDAAZZ,1.13,1471
7/19/2021,CAZHDBAZZ,1.23,349
7/19/2021,CAZHDCAZZ,0.56,160
7/19/2021,CAZHZAAZZ,0.84,251
7/19/2021,CAZHZBAZZ,0.43,95
7/19/2021,CAZHZCAZZ,1.59,753
7/19/2021,CACGAAAZZ,4.42,767
7/19/2021,CACGABAZZ,1.43,8883
7/19/2021,CABAGAAZZ,0.87,1019
7/19/2021,CABAGBAZZ,1.11,276
7/19/2021,CABAGCAZZ,0.48,51
7/19/2021,CACZCAAZZ,0.76,390
7/19/2021,CACZCBAZZ,2.71,3464
7/19/2021,CACZCCAZZ,2.08,3674
7/19/2021,CACZDAAZZ,1.51,1455
7/19/2021,CACZDBAZZ,0.57,132
7/19/2021,CACZDCAZZ,0.84,631
7/19/2021,CADHDAAZZ,2.25,167
7/19/2021,CADHDBAZZ,0.4,41
7/19/2021,CADHDCAZZ,0.99,568
7/19/2021,CAACCAAZZ,1.22,624
7/19/2021,CAACCBAZZ,0.75,205
7/19/2021,CAACCCAZZ,1.47,55
7/19/2021,CADABAAZZ,1.28,1202
7/19/2021,CADABBAZZ,0.48,431
7/19/2021,CADABCAZZ,0.8,182
7/19/2021,CADABDAZZ,1.07,269
7/19/2021,CCADABBAA,0,0
7/19/2021,CCADABBDA,0,0
7/19/2021,CCAGGBFAZ,0.44,209
7/19/2021,CAACZAAZZ,3.21,1931
7/19/2021,CAACZBAZZ,0.74,1799
7/19/2021,CAACZCAZZ,0.77,679
7/19/2021,CACBIAAZZ,0.42,599
7/19/2021,CACBIBAZZ,0.22,319
7/19/2021,CACBICAZZ,0.34,246
7/19/2021,CACDEAAZZ,0.38,119
7/19/2021,CACDECAZZ,0.55,872
7/19/2021,CAZAFAAZZ,2.67,180
7/19/2021,CCAZAFCAZ,3.82,442
